year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1940,FL,051,M,James,Robert,John,William,Charles,Richard,George,Thomas,David,Willie,1144,816,716,716,538,354,326,307,304,289
1950,HI,001,M,Michael,Robert,John,James,William,Richard,Wayne,Glenn,Dennis,David,219,193,181,150,144,130,128,122,121,118
1950,AK,002,M,Robert,John,James,David,William,Michael,Richard,Thomas,Steven,Gary,91,85,76,60,60,51,44,43,33,28
1950,WA,003,M,Michael,Robert,James,John,David,Richard,William,Gary,Steven,Thomas,1395,1255,1158,1112,1056,987,852,729,720,673
1950,OR,004,M,Robert,Michael,David,James,John,Richard,Steven,William,Gary,Ronald,813,800,767,674,665,508,506,485,433,378
1950,CA,005,M,Robert,Michael,John,David,James,Richard,William,Steven,Thomas,Gary,6036,5533,5347,4853,4631,4236,3462,2859,2595,2568
1950,ID,006,M,Robert,Michael,David,John,Richard,William,Gary,James,Steven,Larry,290,288,284,267,214,201,196,196,189,171
1950,NV,007,M,John,Michael,Robert,David,James,Richard,William,Thomas,Gary,Charles,101,81,79,74,74,65,64,54,52,30
1950,MT,008,M,Robert,John,James,Richard,Michael,David,William,Gary,Thomas,Donald,364,352,350,269,259,258,231,193,187,145
1950,WY,009,M,John,James,Robert,David,Michael,Richard,William,Charles,Larry,Gary,165,152,149,129,120,107,102,78,74,70
1950,UT,010,M,David,Robert,Michael,John,Steven,Richard,James,Gary,William,Dennis,421,408,381,316,292,290,279,209,203,194
1950,AZ,011,M,Robert,John,David,James,Michael,Richard,William,Thomas,Charles,Larry,419,383,363,350,315,303,284,192,182,181
1950,CO,012,M,Robert,John,James,Michael,David,Richard,William,Gary,Thomas,Ronald,781,765,703,700,627,562,487,425,371,348
1950,NM,013,M,Robert,James,John,David,Richard,Michael,William,Larry,Joe,Thomas,395,318,311,310,281,266,214,171,164,164
1950,ND,014,M,David,Robert,James,Richard,John,Michael,Larry,Gary,Donald,Ronald,298,291,283,232,225,225,198,191,182,180
1950,SD,015,M,David,Robert,James,Michael,John,Gary,Richard,Thomas,Dennis,Ronald,403,353,337,316,293,252,244,213,200,187
1950,NE,016,M,Robert,James,Michael,John,David,Richard,Thomas,William,Steven,Gary,771,718,656,636,544,489,418,418,413,355
1950,KS,017,M,Robert,Michael,James,John,David,Richard,Larry,William,Gary,Steven,921,897,843,833,797,632,564,559,523,508
1950,OK,018,M,James,Robert,Michael,John,David,Larry,Gary,William,Charles,Richard,1102,914,844,829,808,801,665,630,558,538
