year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1960,CT,39,F,Susan,Mary,Lisa,Donna,Karen,Linda,Patricia,Nancy,Deborah,Kathleen,789,682,628,627,565,552,551,447,442,398
1960,RI,40,F,Donna,Susan,Mary,Linda,Karen,Patricia,Diane,Lisa,Lori,Deborah,332,263,241,230,205,205,186,186,185,159
1960,PA,41,F,Mary,Susan,Donna,Karen,Linda,Lisa,Patricia,Barbara,Deborah,Kathleen,3297,2801,2648,2573,2387,2177,2139,1877,1717,1548
1960,NJ,42,F,Donna,Mary,Susan,Patricia,Karen,Linda,Lisa,Kathleen,Nancy,Barbara,1824,1621,1605,1509,1348,1327,1141,1025,1021,994
1960,DE,43,F,Donna,Mary,Karen,Lisa,Susan,Linda,Patricia,Deborah,Sharon,Carol,141,131,120,113,113,108,104,98,87,79
1960,MD,44,F,Mary,Donna,Karen,Linda,Patricia,Deborah,Susan,Barbara,Sharon,Lisa,920,742,731,651,643,617,607,508,500,499
1960,WV,45,F,Mary,Donna,Tammy,Kimberly,Debra,Brenda,Teresa,Patricia,Kathy,Pamela,449,410,388,374,365,330,324,320,315,307
1960,VA,46,F,Mary,Donna,Deborah,Patricia,Susan,Linda,Cynthia,Karen,Brenda,Sandra,1097,981,796,779,769,750,742,715,705,656
1960,NC,47,F,Donna,Mary,Teresa,Cynthia,Linda,Lisa,Karen,Sandra,Deborah,Patricia,1225,1164,1119,968,949,849,837,827,804,799
1960,SC,48,F,Mary,Donna,Cynthia,Linda,Brenda,Sandra,Barbara,Debra,Patricia,Susan,805,558,555,516,473,467,457,437,434,426
1960,GA,49,F,Mary,Donna,Cynthia,Linda,Brenda,Patricia,Deborah,Sandra,Teresa,Susan,1168,1073,876,850,812,804,794,715,684,683
1960,DC,50,F,Mary,Karen,Patricia,Susan,Lisa,Donna,Sharon,Linda,Deborah,Cynthia,368,322,271,254,250,247,234,229,226,201
1960,FL,51,F,Mary,Donna,Linda,Cynthia,Susan,Patricia,Karen,Lisa,Debra,Sandra,1201,1080,1053,944,873,871,823,822,768,752
1970,HI,1,F,Michelle,Jennifer,Lisa,Kimberly,Shannon,Julie,Christine,Dawn,Denise,Cheryl,157,132,132,126,68,66,61,60,59,54
1970,AK,2,F,Jennifer,Michelle,Kimberly,Lisa,Mary,Shannon,Julie,Angela,Heather,Dawn,81,78,66,54,47,47,44,42,38,37
1970,WA,3,F,Jennifer,Michelle,Lisa,Kimberly,Angela,Julie,Amy,Heather,Shannon,Tina,837,649,554,440,419,386,358,351,342,269
